robot,corridor_id,rollout_mode,solve_index,horizon_step,global_step,tracking_cost,control_cost,smoothness_cost,risk_cost,topology_cost,corridor_cost,manifold_cost,safety_violation_cost,constraint_violation_cost,handover_cost,step_total_cost,cumulative_total_cost,phase,task_state,state_transition,task_cost,task_optimization_cost,risk_weight,tracking_weight,smoothness_weight,task_weight,feasibility_status,step,ref_x,ref_y,ref_z,pred_x,pred_y,pred_z,tracking_error,control_norm,control_delta,risk,risk_value,risk_query_valid,risk_query_source,safety_violation,risk_threshold,risk_sanity_status,horizon,dt,risk_exceeded,constraint_violation,topology_class,distance_to_corridor,corridor_violation,corridor_constraint_status,distance_to_manifold,manifold_clearance,minimum_clearance,clearance_threshold,actual_clearance,progress,boundary_distance,manifold_violation,manifold_constraint_status,manifold_constraint_mode,risk_constraint_violation,soft_constraint_used,minor_violation,major_violation,clearance_constraint_violation,nearest_critical_point,critical_point_target,critical_point_distance,critical_sequence_state,topology_sequence_valid,critical_point_status,current_topology_stage,corridor_override,manifold_override,critical_point_constraint_status,topology_class_constraint_status,topology_consistency_cost,step_cost
arm,arm_c0001,rolling_window,0,0,0,0.11120807337006751,0.0,0.0,1.3955490389938066,0.0,0.0,0.03013609262356161,0.0,84.37943045083969,0.006399999999999998,846.7316617781913,846.7316617781913,approach,approach,handover->approach,0.006399999999999998,0.006399999999999998,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,1,0,1,0.23440730813446703,0.010000000000000016,0.010000000000000016,1.4000416763768437,0.0,0.0,0.03228756516324122,0.0,23.4407308134467,0.0056354500991018935,237.49893701191039,1084.2305987901018,approach,approach,handover->approach,0.0056354500991018935,0.0056354500991018935,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,2,0,2,0.22406617238227114,0.011663999999999999,6.39999999999988e-05,1.4048337577680494,0.0,0.0,0.03457362030170875,0.0,22.40661723822711,0.005034376206131942,227.17592347406523,1311.406522264167,approach,approach,handover->approach,0.005034376206131942,0.005034376206131942,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,3,0,3,0.21395831663007514,0.011663999999999999,0.0,1.4094665798948198,0.0,0.0,0.03676820093140339,0.0,21.39583166300752,0.0046665823131619875,217.08749636445629,1528.4940186286233,approach,approach,handover->approach,0.0046665823131619875,0.0046665823131619875,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,4,0,4,0.20408374087787923,0.011663999999999999,0.0,1.4137672034033917,0.0,0.0,0.03883343242070462,0.0,20.408374087787923,0.004532068420192037,207.23117044593064,1735.725189074554,approach,approach,handover->approach,0.004532068420192037,0.004532068420192037,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,5,0,5,0.1944424451256833,0.011663999999999999,0.0,1.417585555999323,0.0,0.0,0.040728547104282746,0.0,19.444244512568336,0.004630834527222084,197.6062551117051,1933.3314441862592,approach,approach,handover->approach,0.004630834527222084,0.004630834527222084,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,6,0,6,0.18503442937348738,0.011663999999999999,4.81482486096809e-35,1.4208581712842918,0.0,0.0,0.04241085530164321,0.0,18.503442937348737,0.0049628806342521346,188.2122092254575,2121.5436534117166,approach,approach,handover->approach,0.0049628806342521346,0.0049628806342521346,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,7,0,7,0.1758596936212914,0.011663999999999999,0.0,1.4235454824781306,0.0,0.0,0.04383727933897918,0.0,17.58596936212915,0.005528206741282183,179.04853079024576,2300.5921842019625,approach,approach,handover->approach,0.005528206741282183,0.005528206741282183,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,8,0,8,0.1669182378690955,0.011663999999999999,6.018531076210113e-35,1.4256317158048466,0.0,0.0,0.04496648527035922,0.0,16.691823786909545,0.006326812848312233,170.11477807381345,2470.706962275776,approach,approach,handover->approach,0.006326812848312233,0.006326812848312233,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
arm,arm_c0001,rolling_window,9,0,9,0.16109502262528214,0.011663999999999999,6.018531076210113e-35,1.4467310264194104,0.0,0.0,0.04694967126850487,0.0,15.82100621168996,0.006399999999999996,161.45873609976488,2632.1656983755406,approach,approach,handover->approach,0.006399999999999996,0.006399999999999996,1.8,1.0,0.0,1.0,feasible_with_soft_violation,,,,,,,,,,,,0.0,0,,0.0,,pass,10,0.1,,,left_bypass,,,,,,0.08,0.08,,0.0,,,,soft,,True,False,False,,,,,,,passed,1,False,False,,,0.0,
