run_id,date,stage,purpose,status,main_result,notes
20260723_R001,2026-07-23,,,ok,,
20260723_R002,2026-07-23,,,ok,,
20260724_R001,2026-07-24,,,ok,,
20260724_R002,2026-07-24,,,ok,,
20260724_R003,2026-07-24,,,running,,
20260724_R004,2026-07-24,,,running,,
20260724_R005,2026-07-24,,,ok,,
20260725_R001,2026-07-25,,,running,,
20260725_R002,2026-07-25,,,running,,
20260725_R003,2026-07-25,,,ok,,
20260726_R001,2026-07-26,,,ok,,
20260726_R002,2026-07-26,,,ok,,
20260726_R003,2026-07-26,,,running,,
20260726_R004,2026-07-26,,,running,,
20260726_R005,2026-07-26,,,ok,,
20260727_ARMEXECFIX,2026-07-27,,,running,,
20260727_ARMEXECFIX2,2026-07-27,,,running,,
20260727_ARMEXECFIX3,2026-07-27,,,running,,
20260727_ARMEXECFIX4,2026-07-27,,,ok,,
20260727_ARMEXECFIX5,2026-07-27,,,ok,,
20260727_ARMOPT,2026-07-27,,,ok,,
20260727_ARMOPT2,2026-07-27,,,ok,,
20260727_ARMOPT3,2026-07-27,,,ok,,
20260727_ARMOPT4,2026-07-27,,,ok,,
20260727_ARMOPT5,2026-07-27,,,ok,,
20260727_EXECFIX,2026-07-27,,,ok,,
20260727_MPCSAFETY,2026-07-27,,,ok,,
20260727_MPCSAFETY2,2026-07-27,,,ok,,
20260727_MPCSAFETY3,2026-07-27,,,ok,,
20260727_MPCSAFETY4,2026-07-27,,,ok,,
20260727_MPCSAFETY5,2026-07-27,,,ok,,
20260727_R001,2026-07-27,,,ok,,
20260727_REFTRACE,2026-07-27,,,ok,,
20260727_STSMFIX,2026-07-27,,,ok,,
20260727_STSMFIX2,2026-07-27,,,ok,,
20260727_STSMFIX3,2026-07-27,,,ok,,
20260727_WCEXECFIX2,2026-07-27,,,ok,,
20260728_PHASE_ARM,2026-07-28,,,ok,,
20260728_PHASE_ARM_FIX,2026-07-28,,,ok,,
20260728_PHASE_WC,2026-07-28,,,ok,,
20260728_PHASE_WC_GOAL,2026-07-28,,,ok,,
20260728_PHASE_WC_GOAL2,2026-07-28,,,ok,,
20260728_R001,2026-07-28,,,ok,,
20260728_R003,2026-07-28,,,ok,,
20260729_R001,2026-07-29,,,ok,,
20260729_R002,2026-07-29,,,ok,,
20260819_R001,2026-08-19,,,ok,,
20260819_R002,2026-08-19,,,running,,
20260819_R003,2026-08-19,,,ok,,
